Product,CVE Name,Publisher,CVE Severity,CVSS 3 Vector,In CISA  S KEV,CVE Publish Date,CVSS 3 Base Score,CVE Detected Date,CVSS 2 Base Score,Patch Release Date,Vulnerability Link,Vulnerability Summary,CVSS 3 Exploitability Score,Patch,Edition,Version,Endpoint,Sub Version,Organization,Product Raw Entry
Windows 11,CVE-2026-20935,Microsoft,Medium,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,No,01/13/26 18:16:00,6.2,01/17/26 10:29:42,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/440998/CVE-2026-20935,Untrusted pointer dereference in Windows Virtualization-Based Security (VBS) Enclave allows an unauthorized attacker to disclose information locally.,2.5,,*,24H2,CIPLMD10,*,Claimpower,Microsoft_Microsoft Windows 11 Pro_24H2_x64_
SQL Server 2019,CVE-2024-29984,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,04/09/24 17:16:00,8.8,01/19/26 02:13:52,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/358546/CVE-2024-29984,Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL38-ANKUR,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
SQL Server 2022,CVE-2024-28927,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,04/09/24 17:15:00,8.8,01/19/26 07:10:10,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/358584/CVE-2024-28927,Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,2.8,,,16.0.1000.6,CIPLL15-TECHCAB,*,Claimpower,Microsoft Corporation_Browser for SQL Server 2022_16.0.1000.6_x64_
SQL Server 2019,CVE-2024-29983,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,04/09/24 17:16:00,8.8,01/19/26 02:13:52,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/358547/CVE-2024-29983,Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL38-ANKUR,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
Windows 11,CVE-2026-20934,Microsoft,High,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,No,01/13/26 18:16:00,7.5,01/17/26 10:29:42,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/440999/CVE-2026-20934,Concurrent execution using shared resource with improper synchronization (race condition) in Windows SMB Server allows an authorized attacker to elevate privileges over a network.,1.6,,*,24H2,CIPLMD10,*,Claimpower,Microsoft_Microsoft Windows 11 Pro_24H2_x64_
Windows 11,CVE-2026-20932,Microsoft,Medium,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,No,01/13/26 18:16:00,5.5,01/17/26 10:29:42,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/441000/CVE-2026-20932,Exposure of sensitive information to an unauthorized actor in Windows File Explorer allows an authorized attacker to disclose information locally.,1.8,,*,24H2,CIPLMD10,*,Claimpower,Microsoft_Microsoft Windows 11 Pro_24H2_x64_
SQL Server 2019,CVE-2024-29985,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,No,04/09/24 17:16:00,8.8,01/19/26 02:13:52,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/358545/CVE-2024-29985,Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,2.8,,,15.0.2000.5,CIPLL38-ANKUR,*,Claimpower,Microsoft Corporation_Microsoft System CLR Types for SQL Server 2019_15.0.2000.5_x64_
Windows 11,CVE-2026-20931,Microsoft,High,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,No,01/13/26 18:16:00,8,01/17/26 10:29:42,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/441001/CVE-2026-20931,External control of file name or path in Windows Telephony Service allows an authorized attacker to elevate privileges over an adjacent network.,2.1,,*,24H2,CIPLMD10,*,Claimpower,Microsoft_Microsoft Windows 11 Pro_24H2_x64_
Windows 11,CVE-2026-20927,Microsoft,Medium,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,No,01/13/26 18:16:00,5.3,01/17/26 10:29:42,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/441003/CVE-2026-20927,Concurrent execution using shared resource with improper synchronization (race condition) in Windows SMB Server allows an authorized attacker to deny service over a network.,1.6,,*,24H2,CIPLMD10,*,Claimpower,Microsoft_Microsoft Windows 11 Pro_24H2_x64_
SQL Server 2019,CVE-2025-53727,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,No,08/12/25 18:15:00,8.8,01/19/26 02:12:59,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/418461/CVE-2025-53727,Improper neutralization of special elements used in an sql command (sql injection) in SQL Server allows an authorized attacker to elevate privileges over a network.,2.8,,,15.0.4382.1,CIPLL38-ANKUR,*,Claimpower,Microsoft Corporation_Microsoft SQL Server 2019 LocalDB _15.0.4382.1_x64_
