Hostname,BIOS Serial Number,Processor,Total Physical Memory,Storage,System Model,System Manufacturer,Last Logged In User,Device Health,MAC Addresses
PKFRW-CENTRAL,7955-4475-8982-4418-4471-8234-89,Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz,14.03 GB,"C:\ 2.141035E11, D:\ 3.083784E12",Virtual Machine,Microsoft Corporation,Administrator,Critical,00155d0ac801
PKFRW-IKK,5CD231C3W8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.73 GB,"C:\ 3.210428E11, D:\ 1.887426E11",HP ProBook 450 G8 Notebook PC,HP,kian,Unverified,"546ceb098581, 00090ffe0001, 546ceb098580, 5c60babc5ab8"
PKFRW-MYQ,2735-6133-4095-5764-8417-4143-00,Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz,5.13 GB,C:\ 2.141024E11,Virtual Machine,Microsoft Corporation,No Data,Critical,00155d0ac803
PKFRW-NBS,5CD116H471,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,8.94 GB,"C:\ 3.845299E11, F:\ 1.258291E11",HP ProBook 450 G8 Notebook PC,HP,aumurerwa,All good,"b0227ae5ee73, a46bb6fb5fa0, a66bb6fb5f9f, 00090ffe0001, a46bb6fb5f9f"
PKFRW-PROAUDIT,6112-7794-9785-6269-0769-0066-55,Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz,4.44 GB,"C:\ 2.141035E11, D:\ 1.932733E12",Virtual Machine,Microsoft Corporation,No Data,Critical,00155d0ac800
PKFSERVER2,JN7S322,Intel(R) Core(TM) i3-4150 CPU @ 3.50GHz,7.9 GB,"C:\ 2.494772E11, F:\ 1.939971E11, G:\ 5.001047E11, H:\ 5.605477E10",OptiPlex 7020,Dell Inc.,No Data,Critical,9890969c24bc
PKFTZ-ASK,8C3JP93,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,7.76 GB,C:\ 2.549141E11,Latitude 3410,Dell Inc.,asaid,Unverified,"c025a5012c02, 00090faa0001, 7c5079b49e94, 00090ffe0001, 7c5079b49e93"
PKFTZ-BH,5CD312QWV5,12th Gen Intel(R) Core(TM) i7-1255U,7.64 GB,C:\ 5.105013E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,bhamis,Critical,"00090faa0001, e073e72e61ea, 12683882332e, 00090ffe0001, 10683882332e, 10683882332f"
PKFTZ-BJH,5CD4389JMY,13th Gen Intel(R) Core(TM) i7-1355U,15.64 GB,C:\ 5.110959E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,bhaule,All good,"00090faa0001, fa6dccac2574, 00090ffe0001, f86dccac2574, 246a0eddc38c"
PKFTZ-BMK,1H8434105V,Intel(R) Core(TM) Ultra 7 155U,7.46 GB,C:\ 5.111064E11,HP ProBook 460 16 inch G11 Notebook PC,HP,bmukwanja,Needs attention,"00090faa0001, 0a0027000007, 985f41573f29, 9a5f41573f28, 00090ffe0001, 985f41573f28, 246a0e9f439f"
PKFTZ-DRM,5CD2317FVL,12th Gen Intel(R) Core(TM) i7-1255U,7.67 GB,C:\ 5.110739E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,dmmasi,All good,"222b2083ae25, 262b2083ae25, 00090ffe0001, 5c60bab9a9fd, 202b2083ae25"
PKFTZ-GNX,5CD4385ZCK,13th Gen Intel(R) Core(TM) i7-1355U,15.64 GB,C:\ 5.110739E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,gnathan,Needs attention,"00090faa0001, fa6dccac0a66, fe6dccac0a66, 00090ffe0001, f86dccac0a66, 246a0ecd17c8"
PKFTZ-IHBX,5CD312QWV2,12th Gen Intel(R) Core(TM) i7-1255U,7.68 GB,C:\ 5.105055E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,iherman,All good,"00090faa0001, 126838812714, 166838812714, 00090ffe0001, 106838812714, 106838812715, e073e72e61e5"
PKFTZ-IM,5CD312QWSH,12th Gen Intel(R) Core(TM) i7-1255U,7.64 GB,C:\ 5.105213E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,imuyenjwa,All good,"00090faa0001, e073e7309341, 1268388232b6, 00090ffe0001, 1068388232b6"
PKFTZ-IRAINTERN,B0P8D63,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,7.76 GB,"C:\ 2.00632E11, D:\ 5.368709E10",Latitude 3410,Dell Inc.,iraintern,Unverified,"b07b256d48bd, d8f883e582bb, daf883e582ba, 00090ffe0001, d8f883e582ba"
PKFTZ-JEK,45M7WG3,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,7.74 GB,C:\ 2.544197E11,Latitude 3420,Dell Inc.,jemmanuel,All good,"00090faa0001, b4450653788d, 2c6dc1f75e05, 2e6dc1f75e04, 00090ffe0001, 5a7da6165af1"
PKFTZ-JGM,CSRTLQ2,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,7.86 GB,C:\ 2.553838E11,Latitude 5490,Dell Inc.,jmbilinyi,All good,"e4b97a362b7a, 645d86e54f7b, 665d86e54f7a, 00090ffe0001, 645d86e54f7a, 645d86e54f7e"
PKFTZ-JNM2,5CD2317FP8,12th Gen Intel(R) Core(TM) i7-1255U,7.68 GB,C:\ 5.110959E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,jmlekana,All good,"00090faa0001, 222b20842365, 5c60bab9a98d, 00090ffe0001, 202b20842365, 202b20842366"
PKFTZ-JNX,5CD2317FR1,12th Gen Intel(R) Core(TM) i7-1255U,7.67 GB,"C:\ 5.041994E11, D:\ 5.35806E8",HP ProBook 450 15.6 inch G9 Notebook PC,HP,jnyanda,All good,"00090faa0001, 222b2083a3e3, 262b2083a3e3, 00090ffe0001, 202b2083a3e3, 202b2083a3e4, 5c60bab9ac7e"
PKFTZ-JPSX,GVHFS93,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.74 GB,C:\ 5.114325E11,Latitude 3420,Dell Inc.,jshewiyo,Critical,"00090faa0001, 8045ddada684, 8245ddada683, 00090ffe0001, f6a4d88e742e, 8045ddada687, c025a5292432"
PKFTZ-KJCX,5CD2317FRZ,12th Gen Intel(R) Core(TM) i7-1255U,7.64 GB,C:\ 5.110959E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,kjackson,All good,"00090faa0001, 5c60bab9ac5b, 222b20839c93, 262b20839c93, 00090ffe0001, 202b20839c93, 202b20839c94"
PKFTZ-MAK,GVC37Y2,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,7.86 GB,C:\ 2.543494E11,Latitude 5490,Dell Inc.,mkulava,Critical,"00090faa0001, 8c04ba2d7e89, 24ee9ab78bea, 00090ffe0001, cac8c541fbbf"
PKFTZ-MC,6QGHZK3,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.73 GB,C:\ 5.105621E11,Vostro 3400,Dell Inc.,mchristian,Unverified,"00090faa0001, 9843fad2809e, 9a43fad2809d, 00090ffe0001, 9843fad2809d, b445068e683c"
PKFTZ-MHHX,5CD4385ZCT,13th Gen Intel(R) Core(TM) i7-1355U,15.64 GB,C:\ 5.110739E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,mhussein,All good,"00090faa0001, fa6dccac0bbe, fe6dccac0bbe, 00090ffe0001, f86dccac0bbe, f86dccac0bbf, 246a0ecd17be"
PKFTZ-MKG,G4HS6G3,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,7.72 GB,C:\ 4.939286E11,XPS 13 9305,Dell Inc.,mgulamhussein,Unverified,"00090faa0001, b06088afc883, b26088afc882, 00090ffe0001, b06088afc882"
PKFTZ-NBN,DN21NQ2,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,7.86 GB,C:\ 2.543577E11,Latitude 5490,Dell Inc.,nnyambarya,All good,"00090faa0001, e4b97a3de173, b46921274c3d, b66921274c3c, 00090ffe0001, b46921274c3c"
PKFTZ-NFM,GL23FH2,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,7.86 GB,C:\ 4.78439E11,Latitude 5490,Dell Inc.,nmushi,Unverified,"00090faa0001, e4b97a257a3b, 165afc49e699, 265afc49e699, 00090ffe0001, 00090ffe0001, 145afc49e699, 145afc49e69a"
PKFTZ-OFN,5CD433CG7K,Intel(R) Core(TM) Ultra 7 155U,15.46 GB,C:\ 5.11078E11,HP ProBook 440 14 inch G11 Notebook PC,HP,ofelician,All good,"00090ffe0001, 00090faa0001, 98bd80c002de, 9abd80c002dd, 98bd80c002dd, 98bd80c002e1, 246a0ec5fec5"
PKFTZ-POH2,5CD312QWTY,12th Gen Intel(R) Core(TM) i7-1255U,7.64 GB,C:\ 5.105244E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,phagite,All good,"126838812712, 166838812712, 00090ffe0001, 106838812712, e073e72e620b"
PKFTZ-RNMX,5CD452CDB2,13th Gen Intel(R) Core(TM) i7-1355U,15.64 GB,C:\ 5.108872E11,HP ProBook 440 14 inch G10 Notebook PC,HP,rnassib,All good,"00090faa0001, 2a2e89d30080, 2e2e89d30080, 00090ffe0001, 282e89d30080, 282e89d30081, 48ea629433b3"
PKFTZ-TINT3,HQ71YT2,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,7.86 GB,C:\ 2.541379E11,Latitude 5490,Dell Inc.,djohn,Unverified,"00090faa0001, c8f750595742, 04ea561a0c80, 00090ffe0001, 7280d4171bfa"
PKFTZ-VMFX,HRPK6Y2,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,7.86 GB,C:\ 2.54406E11,Latitude 5490,Dell Inc.,vmkama,Needs attention,"00090faa0001, 8c04ba2d7c99, 24ee9a864eea, 00090ffe0001, 24ee9a864ee9"
PKFTZ-VPX,CBSR353,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,7.60 GB,C:\ 5.108956E11,Latitude 5410,Dell Inc.,vpatrick,All good,"747827835822, 00090faa0001, 502f9bc370b8, 522f9bc370b7, 00090ffe0001, 502f9bc370b7, 502f9bc370bb"
PKFTZ-WRB,HZ7HFH2,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,7.88 GB,"C:\ 2.160046E11, D:\ 3.937822E10",Latitude 5480,Dell Inc.,wbalemwa,All good,"00090faa0001, a44cc8272c82, 5613799a2dcd, 6613799a2dcd, 00090ffe0001, 5413799a2dcd, 5413799a2dce"
PKX1C,PF240K6A,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,15.76 GB,C:\ 1.02287E12,20U9005KUS,LENOVO,pkuria,Unverified,"8c8caaf95c7c, f85ea02b39c4, fa5ea02b39c3, 00090ffe0001, f85ea02b39c3, f85ea02b39c7"
PMBABAZI-KLA,5CG1492L6J,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,15.73 GB,"C:\ 2.559312E11, F:\ 2.547421E11",HP EliteBook 830 G8,HP,pmbabazi,Redeployment required,"00090faa0001, f47b09e51ec5, f67b09e51ec4, 00090ffe0001, f47b09e51ec4"
PROSERVER1,CZ29150LFB,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,63.65 GB,"C:\ 6.019099E11, D:\ 5.976873E11, G:\ 5.393917E11, H:\ 6.602212E11",ProLiant DL380 Gen10,HPE,Administrator,Critical,"08f1ea961941, 08f1ea961942, 08f1ea961940, 08f1ea961943, 08f1ea961943"
QUICKBOOKS,8803-0577-6176-2235-6166-3941-15,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,7.99 GB,C:\ 2.742921E11,Virtual Machine,Microsoft Corporation,Administrator,All good,"00155d05d806, 000000000000"
RECEPTION5TH-KL,9D6Q7N2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,7.86 GB,"C:\ 2.384535E11, D:\ 2.726287E11",OptiPlex 7050,Dell Inc.,smusa,All good,d89ef3286084
RECEPTION6TH-KL,9DNK7N2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,7.86 GB,"C:\ 2.384535E11, D:\ 2.726287E11",OptiPlex 7050,Dell Inc.,okyakuhaire,All good,d89ef3253e1c
RWVR-NRB,PF4WRWVR,13th Gen Intel(R) Core(TM) i7-1355U,15.68 GB,C:\ 5.097222E11,21HD008DUE,LENOVO,nmathenge,Unverified,"c4c6e63549b4, d4f32dd0737b, d6f32dd0737a, 00090ffe0001, d4f32dd0737a, d4f32dd0737e"
S1Q3-NRB,5CD124S1Q3,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,15.68 GB,C:\ 5.112123E11,HP ProBook 450 G8 Notebook PC,HP,dmichino,All good,"ec63d7ffef39, ee63d7ffef38, 00090ffe0001, ec63d7ffef38, 489ebd2e772b"
S1VX,5CD124S1VX,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,C:\ 5.119872E11,HP ProBook 450 G8 Notebook PC,HP,bchesire,Critical,"489ebd2e7953, ec63d7fbaf19, ee63d7fbaf18, 00090ffe0001, ec63d7fbaf18"
S1X4,5CD124S1X4,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,C:\ 5.115153E11,HP ProBook 450 G8 Notebook PC,HP,dkavulani,All good,"00090faa0001, 489ebd2e7713, ec63d7fe15dd, 00090ffe0001, ec63d7fe15dc, ec63d7fe15e0"
SEGUYAM-KLA,YX0C86WT,Intel(R) Core(TM) Ultra 7 155U,15.43 GB,"C:\ 5.105286E11, D:\ 5.11292E11",83DJ,LENOVO,mseguya,Critical,"68c6ac4b48ea, 6ac6ac4b48e9, 00090ffe0001, 68c6ac4b48e9, 000000000000"
SEJUTTAAL-KLA,5CG1492L6H,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,15.73 GB,"C:\ 2.931535E11, D:\ 2.175198E11",HP EliteBook 830 G8,HP,asejutta,Needs attention,"00090faa0001, 00090ffe0001, f47b09e52bea, f67b09e52be9, f47b09e52be9, f47b09e52bed, 000000000000"
SERVER,CZ28290175,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,15.66 GB,"C:\ 2.999483E11, D:\ 2.997599E11, G:\ 2.99964E11",ProLiant DL380 Gen10,HPE,administrator,Critical,"d06726d33919, d06726d3391b, d06726d3391a, d06726d33918, d06726d33918, 000000000000, 000000000000, 000000000000, 000000000000, 000000000000"
SGITHUA,5CD124M9C4,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,3.6 GB,C:\ 4.994497E11,HP Laptop 15-dy2xxx,HP,hvadukar,Critical,"00090faa0001, d61b81c26dc1, 00090ffe0001, d41b81c26dc1, d41b81c26dc2"
SHADIAN-KLA,2NY7663,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,7.72 GB,C:\ 5.104701E11,Inspiron 5406 2n1,Dell Inc.,snaddumba,All good,"00090faa0001, 2cdb07c5284a, 2edb07c52849, 2cdb07c52849, 00090ffe0001, 2cdb07c5284d"
SIEMSERVER,KD9B3K9,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,103.81 GB,"C:\ 2.987938E11, D:\ 5.982325E11, I:\ 2.39904E12",System x3650 M4 : -[7915E2G]-,IBM,administrator,Critical,"6cae8b3d3c6d, 6cae8b3d3c6b, 6cae8b3d3c6c, 6cae8b3d3c6a, 6cae8b3d3c6a, 6eae8b3d3c69"
SIMBA,5QLVKQ2,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,3.88 GB,"C:\ 1.848891E11, E:\ 3.145718E11",OptiPlex 3050,Dell Inc.,No Data,Critical,"00090faa0001, 8cec4b708bf0, 00090ffe0001"
SISYEJ-KLA,5CG9456L97,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,7.81 GB,"C:\ 1.260074E11, D:\ 1.287442E11",HP EliteBook 830 G6,HP,psisye,All good,"00090faa0001, 0068ebdf14d9, 94e6f74221a2, 96e6f74221a1, 00090ffe0001, 94e6f74221a1"
SN2T-NRB,5CD123SN2T,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,C:\ 5.112123E11,HP ProBook 450 G8 Notebook PC,HP,vnyambura,All good,"5414f310b153, 00090ffe0001, 5414f310b152, 489ebd2b284f"
SN3M-NRB,5CD123SN3M,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,11.68 GB,C:\ 5.111022E11,HP ProBook 450 G8 Notebook PC,HP,ushah,Unverified,"00090ffe0001, 00090faa0001, 5414f310b14e, 5614f310b14d, 5414f310b14d, 489ebd2b2761"
SOKWE,CZ222703K6,Intel(R) Xeon(R) CPU           X5690  @ 3.47GHz,31.98 GB,"C:\ 2.993884E11, D:\ 8.998963E11, E:\ 1.000202E12",ProLiant DL380 G7,HP,No Data,Critical,009c02a112fe
SSAJABID-KLA,,Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,3.89 GB,"C:\ 2.289408E11, D:\ 2.831134E11",HP ProBook 430 G3,HP,dsajjabi,Needs attention,"3c52823a6c20, 2816add7d945, 2a16add7d944, 00090ffe0001, 2816add7d944, 2816add7d948, 000000000000"
SSENDAGIREA-KLA,YX0B10JZ,Intel(R) Core(TM) Ultra 7 155U,15.43 GB,"C:\ 5.226669E11, D:\ 4.991536E11",83DJ,LENOVO,assendagire,Unverified,"00090faa0001, dc45461915aa, de45461915a9, 00090ffe0001, dc45461915a9"
SSENKAALIH-KLA,5CG61846M3,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,7.88 GB,C:\ 5.110801E11,HP EliteBook 840 G3,HP,hssenkaali,All good,"00090ffe0001, 705a0fd58ee1, 00090faa0001, 4485005fe1a1, 4685005fe1a0, 4485005fe1a0, 000000000000"
SSENTONGOP-KLA,YX0B8JYE,Intel(R) Core(TM) Ultra 7 155U,15.43 GB,"C:\ 5.155953E11, D:\ 5.062252E11",83DJ,LENOVO,pssentongo,Critical,"dc4546c9f415, de4546c9f414, 00090ffe0001, dc4546c9f414"
SSOZIR-KLA,5CG74816B7,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,7.87 GB,C:\ 2.554028E11,HP EliteBook 840 G4,HP,rssozzi,All good,"00090ffe0001, 00090faa0001, 80ce62214c6b, 28c63f523a38, 2ac63f523a37, b6bc434a24e9, 000000000000"
TIMS,VMware-56 4d 3a 77 9c f9 74 2e-e5 b7 93 73 d7 3a 85 cb,Intel(R) Xeon(R) CPU E5-4660 v3 @ 2.10GHz,11.99 GB,C:\ 1.098866E12,"VMware7,1","VMware, Inc.",No Data,Critical,5.06E+12
TJW-NBI,1H84261TJW,13th Gen Intel(R) Core(TM) i5-1335U,15.64 GB,"C:\ 1.602874E11, D:\ 3.502422E11",HP ProBook 450 15.6 inch G10 Notebook PC,HP,mmaria,All good,"fa6dcc643c48, fe6dcc643c48, 00090ffe0001, f86dcc643c48, f86dcc643c49, 28c5c8613827"
TKC-NBI,1H84261TKC,13th Gen Intel(R) Core(TM) i5-1335U,15.64 GB,C:\ 5.112123E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,matieno,Critical,"00090faa0001, fa6dcc643c4e, fe6dcc643c4e, 00090ffe0001, f86dcc643c4e, 28c5c861386c"
TKT-NRB,1H84261TKT,13th Gen Intel(R) Core(TM) i5-1335U,15.64 GB,C:\ 5.112123E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,mwambui,All good,"00ffee2f1277, fa6dcc642842, fe6dcc642842, f86dcc642842, 00090ffe0001, f86dcc642843, 28c5c8613886"
TLB-NBI,1H84261TLB,13th Gen Intel(R) Core(TM) i5-1335U,15.64 GB,C:\ 5.112123E11,HP ProBook 450 15.6 inch G10 Notebook PC,HP,schepngeno,Critical,"28c5c86137a9, fa6dcc644600, 00090ffe0001, 32a15bf398f2"
TTVZ,PW02TTVZ,12th Gen Intel(R) Core(TM) i7-1255U,15.70 GB,C:\ 1.021822E12,21AW001MUE,LENOVO,hndungu,All good,"00090faa0001, a080696cbd72, a280696cbd71, 00090ffe0001, a080696cbd75, a080696cbd71"
TUMUSIIMEJ-KLA,5CG2471P2C,11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,15.68 GB,"C:\ 2.17417E11, D:\ 2.936013E11",HP EliteBook 830 G8 Notebook PC,HP,jtumusiime,Needs attention,"00090faa0001, 3ce9f76fb2c0, 3ee9f76fb2bf, 00090ffe0001, 3ce9f76fb2bf"
TUSIIMEY-KLA,5CG2471PK8,11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,15.73 GB,"C:\ 2.174201E11, D:\ 2.936002E11",HP EliteBook 830 G8 Notebook PC,HP,ytusiime,All good,"00090faa0001, 3ce9f7a5532b, 00090ffe0001, 3ce9f7a5532a"
UG-AD,1162-2178-6929-5712-5197-3838-05,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,9.99 GB,C:\ 3.214766E11,Virtual Machine,Microsoft Corporation,No Data,Critical,00155d05e400
UN1F-NRB,PF0Y3C53,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,7.85 GB,C:\ 5.112123E11,20HD006EUE,LENOVO,daroka,All good,"8c16453d996c, d46d6d073204, d66d6d073203, 00090ffe0001, d46d6d073203"
UWIMANAD-KLA,5CG9233GVM,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,7.84 GB,C:\ 5.110801E11,HP EliteBook 830 G5,HP,duwimana,All good,"80e82c9a647f, a0510be96c23, a2510be96c22, a0510be96c22"
VFKGF,5CD2140FXF,12th Gen Intel(R) Core(TM) i5-1240P,7.64 GB,C:\ 5.111158E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,kyegon,Unverified,"00090ffe0001, 846993486575, 847b5749204c, 867b5749204b, 847b5749204b, 847b5749204f"
VP6-NRB,5CD1241VP6,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,C:\ 5.110822E11,HP ProBook 450 G8 Notebook PC,HP,cchimano,Unverified,"489ebd2cd94b, 5414f3409571, 5614f3409570, 00090ffe0001, 2a4795ecfc39, 5414f3409574"
W2WQ,PF1DVXUH,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,11.3 GB,C:\ 5.115242E11,20Q8S3CY00,LENOVO,bpokra,All good,"00090faa0001, 98fa9be7d1d3, 08719096e9da, 0a719096e9d9, 00090ffe0001, 08719096e9d9, 08719096e9dd"
W2X0NRB,PF1CLXJW,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,11.3 GB,C:\ 4.995222E11,20Q8S36Y00,LENOVO,pnyamani,Unverified,"f875a4d0215c, d83bbfa1d0ed, 00090ffe0001, d83bbfa1d0ec, da3bbfa1d0ec"
W9237,5CD1369237,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.73 GB,C:\ 5.10962E11,HP ProBook 440 G8 Notebook PC,HP,wmwangi,Critical,"00090faa0001, a864f1ecfc7b, 00090ffe0001, a864f1ecfc7a, 508140935100"
WAFULAI-KLA,FBST190,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,15.78 GB,"C:\ 1.367259E11, D:\ 1.173755E11",Latitude 7400 2-in-1,Dell Inc.,iwafula,Redeployment required,"00090faa0001, d83bbf9f68f8, 00090ffe0001, d83bbf9f68fb, d83bbf9f68f7"
WCAQ-NRB,PF4KWCAQ,13th Gen Intel(R) Core(TM) i7-1355U,15.68 GB,C:\ 1.022987E12,21HM007KUE,LENOVO,mmburugu,All good,"00090faa0001, 687a649784b7, 6a7a649784b6, 00090ffe0001, 687a649784b6, 687a649784ba"
WD2NRB,5356-2501-0676-7962-7920-1825-01,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,15.99 GB,C:\ 1.357875E11,Virtual Machine,Microsoft Corporation,No Data,Critical,00155d010200
WIN-MISDT8VT670,CZ2D32068R,INTEL(R) XEON(R) GOLD 6526Y,127.76 GB,"C:\ 4.799629E12, D:\ 4.798538E12, E:\ 4.800182E11",ProLiant DL380 Gen11,HPE,Administrator,Critical,"8c8474deca51, 8c8474deca50, 405b7f9827e8"
WXP,5CD120FWXP,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.68 GB,C:\ 5.115153E11,HP ProBook 450 G8 Notebook PC,HP,lkariithi,All good,"b0227af0ecab, 4c796e8ca934, 00090ffe0001, 4c796e8ca933, 4c796e8ca937"
YASINMU-KLA,5CG1492LPY,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,15.68 GB,"C:\ 2.413025E11, D:\ 2.68275E11",HP EliteBook 830 G8,HP,ymuhindi,Needs attention,"84144da26d19, 86144da26d18, 00090ffe0001, 84144da26d18, 84144da26d1c, 000000000000"
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
No Data,No Data,No Data,No Data,,No Data,No Data,No Data,Provisioning,
