Hostname,BIOS Serial Number,Processor,Total Physical Memory,Storage,System Model,System Manufacturer,Last Logged In User,Device Health,MAC Addresses
NAGUDIS-KLA,YX0B19EG,Intel(R) Core(TM) Ultra 7 155U,15.43 GB,"C:\ 5.018359E11, D:\ 5.199846E11",83DJ,LENOVO,jsnagudi,Redeployment required,"00090faa0001, dc4546188ab3, de4546188ab2, 00090ffe0001, dc4546188ab2"
NAGUJJAL-KLA,YX0B19H1,Intel(R) Core(TM) Ultra 7 155U,15.43 GB,"C:\ 5.144597E11, D:\ 5.073608E11",83DJ,LENOVO,lnagujja,All good,"d4f32ddea879, d6f32ddea878, 00090ffe0001, d4f32ddea878"
NAKASILK-KLA,8CG1461KK5,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.77 GB,"C:\ 2.560014E11, D:\ 2.551248E11",HP Pavilion x360 Convertible 14-dy0xxx,HP,lnakasi,All good,"2811a83f47c5, 00090ffe0001, 2811a83f47c4, 2811a83f47c8"
NAKATOC-KLA,5CG7192DRT,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,7.88 GB,"C:\ 1.265852E11, D:\ 1.276987E11",HP EliteBook 840 G3,HP,cnakato,All good,"00090faa0001, f430b90f2a89, 14abc5aed702, 16abc5aed701, 00090ffe0001, 14abc5aed701, 000000000000"
NAKAZIBWES-KLA,5CG8257MS8,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,7.84 GB,"C:\ 1.292359E11, D:\ 1.258291E11",HP EliteBook 830 G5,HP,snakazibwe,All good,"1062e59e126f, 38deaddbe418, 3adeaddbe417, 00090ffe0001, 38deaddbe417"
NALWOGAH-KLA,5CG9376FHV,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,7.81 GB,"C:\ 2.229E11, D:\ 2.873937E11",HP EliteBook 830 G6,HP,hnalwoga,Critical,"00090faa0001, 040e3ccea309, dc719620ee29, de719620ee28, 00090ffe0001, dc719620ee28, dc719620ee2c, 000000000000"
NAMARAH-KLA,5CG1492LQ6,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,15.73 GB,"C:\ 2.174086E11, D:\ 2.936002E11",HP EliteBook 830 G8,HP,hnamara,All good,"00090ffe0001, 84144da26d73, 86144da26d72, 84144da26d72, 000000000000"
NAMATAJ-KLA,FBST195,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,15.78 GB,"C:\ 1.280972E11, D:\ 1.262433E11",Latitude 7400 2-in-1,Dell Inc.,jnamata,All good,"60f262ad540e, 00090ffe0001, 60f262ad5411, 60f262ad540d, 000000000000"
NAMAZZIW-KLA,5CD9106VGW,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,7.38 GB,"C:\ 1.337343E11, D:\ 1.205768E11",HP EliteBook x360 1030 G3,HP,wnamazzi,All good,"00090ffe0001, a86daa61dd08, aa6daa61dd07, a86daa61dd07"
NAMIRIMWEE-KLA,5CD9111G4H,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,7.84 GB,"C:\ 1.341139E11, D:\ 1.201972E11",HP EliteBook x360 1030 G3,HP,enamirimwe,All good,"00090faa0001, a86daa6219e4, 00090ffe0001, a86daa6219e3, a86daa6219e7"
NAMPEWO,5CD92148ZN,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,7.84 GB,C:\ 2.549445E11,HP EliteBook x360 1030 G3,HP,fkatiti,Unverified,"00090faa0001, a4c3f0f7a8b0, 00090ffe0001, a4c3f0f7a8af"
NAMUGABWEB-KLA,YX0B8K3Y,Intel(R) Core(TM) Ultra 7 155U,15.43 GB,"C:\ 5.088949E11, D:\ 5.129256E11",83DJ,LENOVO,bnamugabwe,Critical,"00090ffe0001, 00090faa0001, dc4546cb00c1, dc4546cb00c0, dc4546cb00c4"
NAMWANGAC-KLA,5CG7122Z5W,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,7.88 GB,"C:\ 1.224265E11, D:\ 1.329752E11",HP EliteBook 840 G3,HP,rnankya,All good,"00090ffe0001, 3c5282496342, 14abc568ba88, 14abc568ba87, 14abc568ba8b"
NANJALAS-KLA,5CD9106V8P,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,7.84 GB,"C:\ 1.326732E11, D:\ 1.216359E11",HP EliteBook x360 1030 G3,HP,snanjala,Unverified,"a86daa615699, aa6daa615698, 00090ffe0001, a86daa615698"
NANKYANM-KLA,YX0BDG3N,Intel(R) Core(TM) Ultra 7 155U,15.43 GB,"C:\ 5.104395E11, D:\ 5.113811E11",83DJ,LENOVO,mnankya,All good,"00090ffe0001, 6c2f80e6b0c3, 6c2f80e6b0c2"
NANTALEJ-KLA,8CG1461KKN,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,7.77 GB,"C:\ 2.680412E11, D:\ 2.423647E11",HP Pavilion x360 Convertible 14-dy0xxx,HP,jnakato,All good,"00090ffe0001, 2811a83e7f75, 2a11a83e7f74, 2811a83e7f74"
NANZIGWA-KLA,FBST182,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,15.74 GB,"C:\ 1.21509E11, D:\ 1.327413E11",Latitude 7400 2-in-1,Dell Inc.,ynanzingwa,All good,"60f2624aab2e, 62f2624aab2d, 00090ffe0001, 60f2624aab2d, 000000000000"
NANZIRIF-KLA,5CD9106VHJ,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,7.37 GB,C:\ 2.550294E11,HP EliteBook x360 1030 G3,HP,fnanziri,Needs attention,"00090ffe0001, 00090faa0001, a86daa618132, a86daa618131, a86daa618135, 000000000000"
NASIRUMBIGL-KLA,5CG1492L65,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,15.73 GB,"C:\ 2.906747E11, D:\ 2.189039E11",HP EliteBook 830 G8,HP,rmuggale,Needs attention,"00090ffe0001, f47b09e52ccb, f47b09e52cca"
NBISAGE,5354-0101-3543-1471-3410-5008-76,Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz,23.43 GB,C:\ 1.690724E11,Virtual Machine,Microsoft Corporation,No Data,Critical,00155d014d03
NIMWESIGAB-KLA,5CD9087W6Y,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,15.84 GB,"C:\ 1.287633E11, D:\ 1.258281E11",HP EliteBook x360 1030 G3,HP,asseguya,Unverified,"00090faa0001, 207918fb6d15, 227918fb6d14, 00090ffe0001, 207918fb6d14, 207918fb6d18"
NKR21,2914-6509-5856-5829-3602-1318-80,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,3.92 GB,C:\ 4.28919E11,Virtual Machine,Microsoft Corporation,No Data,Critical,00155d011315
NRB-AD,4791-3566-9628-0517-0558-8381-69,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,15.67 GB,C:\ 4.28919E11,Virtual Machine,Microsoft Corporation,No Data,Critical,00155d011317
NUNDAM-KLA,5CG60447M9,Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,7.87 GB,"C:\ 2.609198E11, E:\ 2.379617E11",HP EliteBook 840 G2,Hewlett-Packard,mnunda,All good,"00090ffe0001, 00090faa0001, fc3fdbfa440f, 648099afe79b, 668099afe79a, 648099afe79e, 648099afe79a"
OBALERO-KLA,5CG61846XF,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,7.88 GB,"C:\ 2.699161E11, D:\ 2.411725E11",HP EliteBook 840 G3,HP,robale,All good,"00090faa0001, 705a0fd6f030, 4485005fe2dc, 00090ffe0001, 4485005fe2db"
ODYW-NRB,5CD2140DYW,12th Gen Intel(R) Core(TM) i5-1240P,7.64 GB,C:\ 5.112123E11,HP ProBook 450 15.6 inch G9 Notebook PC,HP,pwangeci,All good,"847b5745fb10, 867b5745fb0f, a8b13b933161, 00090ffe0001, 847b5745fb0f"
PKFC-CH,5CD3301VH7,13th Gen Intel(R) Core(TM) i5-1335U,15.64 GB,"C:\ 2.902754E11, D:\ 2.201999E11",HP ProBook 450 15.6 inch G10 Notebook PC,HP,chirwa,All good,"bc0ff38dab16, ce5ef831cbd7, 00090ffe0001, cc5ef831cbd7, cc5ef831cbd8"
