Endpoint,IP,OS,Group,Agent Version,System status,First Seen,Last Seen,Antivirus Database Version,EPP Best Practice,Open Alerts,Vulnerabilities,Misconfigurations
MACML892,172.20.100.85,Windows,Manually Installed Agents,4.30.1.19100,OK,"01 Dec 2025, 20:02","05 Feb 2026, 11:36",8.20.69.76,Yes,0,2,31
MACML89,172.20.100.103,Windows,Manually Installed Agents,4.31.0.19139,OK,"10 Dec 2025, 17:12","12 Feb 2026, 16:19",8.20.69.234,Yes,0,0,47
MACML888,172.20.133.54,Windows,Manually Installed Agents,4.31.0.19214,OK,"19 Jan 2026, 11:50","18 Feb 2026, 15:23",8.20.72.170,Yes,0,2,48
MACML887,192.168.0.104,Windows,Manually Installed Agents,4.31.0.19214,OK,"03 Dec 2025, 12:27","15 Feb 2026, 17:29",8.20.70.56,Yes,0,2,52
MACML886,172.20.100.42,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:29","20 Feb 2026, 16:52",8.20.72.192,Yes,0,2,49
MACML884,172.20.100.65,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:07","21 Feb 2026, 14:42",8.20.72.206,Yes,0,1,53
MACML882,172.20.100.32,Windows,Manually Installed Agents,4.31.0.19139,OK,"01 Dec 2025, 09:09","09 Feb 2026, 17:42",8.20.70.52,Yes,0,1,54
MACML882,172.20.100.32,Windows,Manually Installed Agents,4.31.0.19214,OK,"09 Feb 2026, 17:55","20 Feb 2026, 20:27",8.20.72.196,Yes,0,2,54
MACML881,172.20.100.61,Windows,Manually Installed Agents,4.31.0.19214,OK,"02 Feb 2026, 17:03","20 Feb 2026, 20:55",8.20.72.196,Yes,0,9,43
MACML881,172.20.100.61,Windows,Manually Installed Agents,4.30.1.19100,OK,"01 Dec 2025, 07:41","02 Feb 2026, 16:55",8.20.70.44,Yes,0,9,47
MACML880,172.20.100.101,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 10:47","18 Feb 2026, 18:59",8.20.72.170,Yes,0,2,38
MACML88,192.168.7.208,Windows,Manually Installed Agents,4.31.0.19214,OK,"15 Dec 2025, 09:47","20 Feb 2026, 16:24",8.20.72.192,Yes,0,1,53
MACML879,172.20.100.50,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 11:16","21 Feb 2026, 00:39",8.20.72.196,Yes,0,2,53
MACML878,10.26.49.26,Windows,Manually Installed Agents,4.31.0.19214,OK,"02 Dec 2025, 16:20","20 Feb 2026, 11:12",8.20.72.192,Yes,0,2,53
MACML877,172.20.133.51,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 19:21","20 Feb 2026, 17:16",8.20.72.192,Yes,0,3,53
MACML876,192.168.0.101,Windows,Manually Installed Agents,4.30.1.19100,OK,"05 Feb 2026, 11:38","07 Feb 2026, 18:37",8.20.72.26,Yes,0,2,35
MACML876,172.20.100.116,Windows,Manually Installed Agents,4.30.1.19100,OK,"11 Dec 2025, 10:25","05 Feb 2026, 11:31",8.20.69.204,Yes,0,2,53
MACML875,192.168.0.198,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:01","19 Feb 2026, 23:24",8.20.72.180,Yes,0,2,53
MACML874,172.20.100.117,Windows,Manually Installed Agents,4.30.1.19100,OK,"04 Dec 2025, 10:43","05 Feb 2026, 10:12",8.20.69.202,Yes,0,1,7
MACML872,172.20.100.98,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:11","20 Feb 2026, 17:19",8.20.72.190,Yes,0,1,53
MACML871,172.20.121.60,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:21","19 Feb 2026, 17:23",8.20.72.174,Yes,0,1,56
MACML865,172.20.100.115,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:46","20 Feb 2026, 16:06",8.20.72.192,Yes,0,2,50
MACML864,172.20.100.21,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 10:22","20 Feb 2026, 23:39",8.20.72.196,Yes,0,10,53
MACML863,172.20.100.60,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:17","20 Feb 2026, 12:25",8.20.72.192,Yes,0,2,50
MACML862,172.20.100.103,Windows,Manually Installed Agents,4.30.1.19100,OK,"20 Jan 2026, 12:50","03 Feb 2026, 12:08",8.20.71.64,Yes,0,3,8
MACML860,192.168.104.72,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:27","20 Feb 2026, 17:59",8.20.72.196,Yes,0,1,56
MACML848,192.168.104.77,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:21","19 Feb 2026, 13:04",8.20.72.180,Yes,0,2,53
MACML84,172.20.100.122,Windows,T_Deploy,4.31.0.19139,OK,"12 Dec 2025, 11:43","11 Feb 2026, 13:20",8.20.69.218,Yes,0,3,47
MACML838,172.20.100.75,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:05","21 Feb 2026, 01:11",8.20.72.192,Yes,0,2,54
MACML837,172.20.100.47,Windows,Manually Installed Agents,4.31.0.19214,OK,"02 Dec 2025, 14:35","18 Feb 2026, 13:59",8.20.72.170,Yes,0,8,28
MACML833,172.20.100.78,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:08","21 Feb 2026, 02:29",8.20.72.192,Yes,0,2,52
MACML831,172.20.50.31,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:46","20 Feb 2026, 17:05",8.20.72.186,Yes,0,3,53
MACML83,172.20.100.109,Windows,Manually Installed Agents,4.31.0.19214,OK,"18 Dec 2025, 09:24","18 Feb 2026, 22:44",8.20.72.174,Yes,0,3,54
MACML827,172.20.100.95,Windows,Manually Installed Agents,4.31.0.19139,OK,"09 Dec 2025, 13:37","13 Feb 2026, 18:26",8.20.69.218,Yes,0,0,54
